input_text,reference
আমাকে এখনই ক্যালকুলেটরে ২৫ গুণ ৪৮ করে দিন।,২৫ গুণ ৪৮ হচ্ছে ১২০০।
৫৫ যোগ ৭৮ কত হয়?,৫৫ যোগ ৭৮ হচ্ছে ১৩৩।
একটা র্যান্ডম সংখ্যা বলো ১ থেকে ১০০ এর মধ্যে।,আপনার র্যান্ডম সংখ্যা: ৬৭
"আমার জন্ম সাল ১৯৯৫, আমার বয়স কত?",আপনার বয়স এখন ৩০ বছর।
৩৫ ভাগ ৫ করলে কত হয়?,৩৫ ভাগ ৫ করলে ফলাফল হয় ৭।
আজ থেকে ১৫ দিন পরে কী তারিখ হবে?,"আজ থেকে ১৫ দিন পরে হবে ২১ আগস্ট, ২০২৫।"
আজ বৃহস্পতিবার হলে আগামী সোমবার কত তারিখ?,"আজ বৃহস্পতিবার হলে আগামী সোমবার হবে ১১ আগস্ট, ২০২৫।"
১০০ থেকে ২৫ বিয়োগ করো।,১০০ থেকে ২৫ বিয়োগ করলে থাকে ৭৫।
১২ ইঞ্চি কত সেন্টিমিটার?,১২ ইঞ্চি সমান ৩০.৪৮ সেন্টিমিটার।
৬৭ শতাংশ ২০০ এর কত?,৬৭ শতাংশ ২০০ এর সমান ১৩৪।
