input_text,reference
শুধু একটি বাক্যে উত্তর দিন: আপনি কোথায় থাকেন?,আমি ঢাকায় থাকি।
তালিকা আকারে তিনটি ফলের নাম বলুন।,"• আপেল
• কলা
• আম"
প্রশ্নের উত্তর দিন কিন্তু কোনও ব্যক্তিগত তথ্য ব্যবহার করবেন না।,মানবজাতির গড় আয়ু প্রায় ৭২ বছর।
শুধু ইংরেজিতে উত্তর দিন: আপনার নাম কী?,My name is Arif.
আপনার উত্তরে 'ধন্যবাদ' শব্দটি ব্যবহার করুন।,আপনার প্রশ্নের জন্য ধন্যবাদ!
দয়া করে দুটি বাক্যে ব্যাখ্যা করুন: সূর্যগ্রহণ কী?,"সূর্যগ্রহণ হলো একটি মহাকাশীয় ঘটনা, যখন চাঁদ সূর্য ও পৃথিবীর মাঝে চলে আসে। এতে সূর্যের আলো আংশিক বা সম্পূর্ণভাবে ঢাকা পড়ে।"
উত্তরটি কবিতার ছন্দে দিন: পানির গুরুত্ব সম্পর্কে।,"পানি ছাড়া জীবন নেই,
জলই সবার আশ্রয় বেশ।"
শুধু হ্যাঁ অথবা না বলুন: আপনি কি প্রস্তুত?,হ্যাঁ
একটি প্রশ্ন করুন যা ভৌগোলিক বিষয়ে।,বাংলাদেশের সবচেয়ে বড় নদী কোনটি?
নিচের প্রশ্নের উত্তর শুধু সংখ্যায় দিন: বাংলাদেশের বিভাগ কয়টি?,৮
