input_text,reference
আজকে আবহাওয়া কেমন?,"আজকের আবহাওয়া মেঘলা এবং হালকা ঠাণ্ডা, ছাতা নিয়ে বের হওয়া ভালো হবে।"
তুমি কী করছো?,আমি এখন তোমার প্রশ্নের উত্তর দিচ্ছি।
বাংলাদেশের রাজধানী কোথায়?,বাংলাদেশের রাজধানী হলো ঢাকা।
আমার একটি ছুটি দরকার।,"আপনি বিশ্রামের জন্য একটি ছুটি নিতে পারেন, এটা আপনার জন্য উপকারী হবে।"
তুমি কি ইংরেজি বলতে পারো?,"হ্যাঁ, আমি ইংরেজি বলতে এবং বুঝতে পারি।"
তুমি কি আমার জন্য একটি কবিতা লিখতে পারো?,"অবশ্যই, আমি তোমার জন্য একটি ছোট কবিতা লিখি।"
তুমি কি আমার প্রশ্ন বুঝেছো?,"হ্যাঁ, আমি তোমার প্রশ্ন বুঝতে পেরেছি।"
আমাকে একটি প্রবাদ বলো।,অল্পবিদ্যা ভয়ংকরী।
তুমি কোথায় যাচ্ছ?,"আমি কোথাও যাচ্ছি না, আমি এখানে তোমার সাহায্যে আছি।"
আমাকে পরীক্ষার ফলাফল বলো।,আপনার পরীক্ষার ফলাফল হলো ৮৫ শতাংশ। অভিনন্দন!
