input_text,reference
"আপনি কেমন আছেন?","আমি ভালো আছি, ধন্যবাদ! আপনি কেমন আছেন?"
"আজকের ঢাকার আবহাওয়া কেমন?","আজকের ঢাকার আবহাওয়া আংশিক মেঘলা, তাপমাত্রা প্রায় ৩০ ডিগ্রি সেলসিয়াস।"
"আপনি কী করতে পারেন?","আমি তথ্য খুঁজে দিতে, প্রশ্নের উত্তর দিতে এবং বিভিন্ন কাজে সাহায্য করতে পারি।"
"তুমি কি বাংলা বোঝো?","হ্যাঁ, আমি বাংলায় কথা বলতে এবং বুঝতে পারি।"
"তুমি কীভাবে কাজ করো?","আমি কৃত্রিম বুদ্ধিমত্তা ব্যবহার করে আপনার প্রশ্নের উত্তর দেওয়ার চেষ্টা করি।"
"তোমার নাম কী?","আমি একটি এআই সহকারী, আমার নির্দিষ্ট কোনো নাম নেই।"
"আমাকে একটা মজার গল্প বলো।","একবার এক গরু বাসে উঠতে চাইল, কন্ডাক্টর বলল—'ভাই, আপনার জন্য ঘাসের বাস আলাদা!' 😄"
"চা না কফি, কোনটা ভালো?","দুইটাই জনপ্রিয়! আপনি যদি শক্ত স্বাদের কিছু চান, কফি ভালো। নরম ও হালকা চাইলে চা বেছে নিতে পারেন।"
"তুমি কি গান গাইতে পারো?","আমি নিজে গান গাইতে পারি না, তবে আপনার জন্য গানের কথা বলতে পারি।"
"আজকের সংবাদ শোনাও।","দুঃখিত, আমি সরাসরি সংবাদ পড়তে পারি না, তবে আপনি চাইলে নির্দিষ্ট বিষয়ে তথ্য পেতে সাহায্য করতে পারি।"
