input_text,reference
দয়া করে আগামী শুক্রবারের জন্য একটি ৩ দিনের ঢাকা ভ্রমণসূচি তৈরি করুন।,"অবশ্যই! এখানে একটি ৩ দিনের ঢাকা ভ্রমণসূচি:
১ম দিন: জাতীয় জাদুঘর, শাহবাগ ও ঢাকা বিশ্ববিদ্যালয় এলাকা
২য় দিন: লালবাগ কেল্লা, আহসান মঞ্জিল
৩য় দিন: হাতিরঝিল, বনানী ও গুলশান এলাকায় ঘোরাঘুরি"
বাংলাদেশের বর্তমান রাষ্ট্রপতির নাম লিখুন।,বাংলাদেশের বর্তমান রাষ্ট্রপতির নাম মোহাম্মদ সাহাবুদ্দিন।
৩ ও ৫ এর গ.সা.গু নির্ণয় করুন।,৩ ও ৫ এর গ.সা.গু হলো ১।
‘রাবার’ কী ধরনের পদার্থ? ব্যাখ্যা করুন।,"রাবার একটি ইলাস্টোমার, অর্থাৎ এটি প্রসারিত হয়ে আবার আগের আকারে ফিরে আসে। এটি সাধারণত প্রাকৃতিক বা কৃত্রিমভাবে তৈরি হয়।"
বাংলা নববর্ষের ঐতিহাসিক পটভূমি সংক্ষেপে লিখুন।,"বাংলা নববর্ষের সূচনা মুঘল সম্রাট আকবরের রাজত্বকালে, কৃষি কর আদায়ের সুবিধার্থে বাংলা সনের প্রবর্তন করা হয়। এটি একটি সংস্কৃতিনির্ভর উৎসব।"
৫ সংখ্যাটির বর্গমূল কত?,৫ সংখ্যাটির বর্গমূল হলো √৫ ≈ ২.২৩৬।
পানি ফুটে কত ডিগ্রি সেলসিয়াসে উত্তপ্ত হয়?,পানি ১০০ ডিগ্রি সেলসিয়াসে ফুটে।
"নিচের তালিকা থেকে প্রাণীদের শ্রেণীবিন্যাস করুন: কুকুর, আম, সিংহ, বাঁশ, বিড়াল।","প্রাণী: কুকুর, সিংহ, বিড়াল
উদ্ভিদ: আম, বাঁশ"
একটি চিঠির নমুনা লিখুন যেখানে স্কুলে অনুপস্থিত থাকার কারণ জানানো হয়েছে।,"প্রিয় শিক্ষক,
আমি গত সপ্তাহে অসুস্থ থাকার কারণে স্কুলে আসতে পারিনি। আমি আপনার কাছে অনুপস্থিত থাকার জন্য ক্ষমাপ্রার্থী।
শুভেচ্ছান্তে,
রাহাত"
একটি প্রোগ্রাম লিখুন যা ১ থেকে ১০ পর্যন্ত সংখ্যাগুলোর যোগফল বের করে।,"Python কোড:
sum = 0
for i in range(1, 11):
    sum += i
print(sum)"
